id,order,score,weight,color,label
iGMDRD330,1,4,1,#C7E89E,"ATM"
iGMDRD330,1,3,1,#9E0041,"NGF"
iGMDRD330,1,3,1,#E1514B,"PRAG1"
iGMDRD330,1,2,1,#6CC4A4,"EPHA7"
iGMDRD330,1,3,1,#F47245,"ESR2"
iGMDRD330,1,6,1,#9E0041,"RPS6KA6"
iGMDRD330,1,2,1,#9E0041,"BCL9"
iGMDRD330,1,3,1,#FAE38C,"TP73"
iGMDRD330,1,3,1,#FEC574,"PKN3"
iGMDRD330,1,3,1,#FEC574,"LPP"
iGMDRD330,1,2,1,#FEC574,"INPP5D"
iGMDRD330,1,3,1,#FAE38C,"STK31"
iGMDRD330,1,1,1,#F47245,"XPA"
iGMDRD330,1,3,1,#E1514B,"CASP8"
iGMDRD330,1,3,1,#FEC574,"RPS6KL1"
iGMDRD330,1,3,1,#FB9F59,"TGFBR1"
iGMDRD330,1,3,1,#9CD6A4,"IL1R1"
iGMDRD330,1,3,1,#FB9F59,"FOXE1"
iGMDRD330,1,1,1,#FAE38C,"PI4KA"
iGMDRD330,1,2,1,#4776B4,"CSNK1A1"
iGMDRD330,1,1,1,#FEC574,"CHUK"
iGMDRD330,1,1,1,#4776B4,"NRAS"
iGMDRD330,1,1,1,#FAE38C,"ITGB6"
iGMDRD330,1,4,1,#5E4EA1,"MAP2K4"
iGMDRD330,1,3,1,#F47245,"BCL3"
iGMDRD330,1,1,1,#C7E89E,"GATA1"
iGMDRD330,1,2,1,#9E0041,"COL14A1"
iGMDRD330,1,1,1,#C32F4B,"CHD8"
iGMDRD330,1,2,1,#9E0041,"LIMK1"
iGMDRD330,1,2,1,#4D9DB4,"PRKACG"
iGMDRD330,1,1,1,#9CD6A4,"ABCA3"
iGMDRD330,1,2,1,#C7E89E,"ORMDL3"
iGMDRD330,1,3,1,#9CD6A4,"EPHA4"
iGMDRD330,1,4,1,#FAE38C,"MAP2K5"
iGMDRD330,1,3,1,#9CD6A4,"MSN"
iGMDRD330,1,2,1,#E1514B,"KALRN"
iGMDRD330,1,2,1,#6CC4A4,"HNF1A"
iGMDRD330,1,2,1,#FEC574,"MARK2"
iGMDRD330,1,3,1,#4776B4,"PRKCD"
iGMDRD330,1,1,1,#5E4EA1,"SPEG"
iGMDRD330,1,3,1,#9E0041,"LIF"
iGMDRD330,1,3,1,#FAE38C,"PRKG1"
iGMDRD330,1,3,1,#4776B4,"RIOK2"
iGMDRD330,1,6,1,#5E4EA1,"RIPK2"
iGMDRD330,1,3,1,#C32F4B,"ALPK2"
iGMDRD330,1,3,1,#E1514B,"ROS1"
iGMDRD330,1,3,1,#5E4EA1,"TGFB3"
iGMDRD330,1,3,1,#F47245,"PHF3"
iGMDRD330,1,3,1,#C32F4B,"TSSK4"
iGMDRD330,1,6,1,#9CD6A4,"ALS2"
iGMDRD330,1,2,1,#FEC574,"FLNC"
iGMDRD330,1,1,1,#9CD6A4,"MAST4"
