id,order,score,weight,color,label
iGMDRD324,1,1,1,#EAF195,"CI-1040"
iGMDRD654,1,1,1,#FB9F59,"SL 0101-1"
iGMDRD507,1,1,1,#9E0041,"GSK690693"
iGMDRD255,1,3,1,#5E4EA1,"SB225002"
iGMDRD280,1,2,1,#FAE38C,"CYTOCHALASIN B"
iGMDRD202,1,6,1,#9CD6A4,"Curcumin"
iGMDRD313,1,1,1,#F47245,"Axitinib"
iGMDRD221,1,1,1,#C32F4B,"Tamoxifen"
iGMDRD60,1,2,1,#5E4EA1,"Quinoclamine"
iGMDRD655,1,1,1,#9CD6A4,"SCHEMBL618594"
iGMDRD376,1,1,1,#FAE38C,"Tivozanib"
iGMDRD659,1,3,1,#6CC4A4,"Avagacestat (BMS-708163)"
iGMDRD451,1,2,1,#E1514B,"Serdemetan"
iGMDRD1002,1,1,1,#9CD6A4,"rTRAIL"
iGMDRD673,1,1,1,#FAE38C,"LSM-1215"
iGMDRD332,1,1,1,#F47245,"A-770041"
iGMDRD353,1,2,1,#9CD6A4,"PD0325901"
iGMDRD755,1,1,1,#FEC574,"XMD13-2"
iGMDRD689,1,1,1,#6CC4A4,"EX-8678"
iGMDRD556,1,1,1,#C32F4B,"Quizartinib"
iGMDRD112,1,1,1,#4776B4,"Methotrexate"
iGMDRD292,1,1,1,#4D9DB4,"NSC87877"
iGMDRD5,1,2,1,#5E4EA1,"Tyrphostin AG 1478"
iGMDRD491,1,1,1,#E1514B,"TAE-684"
iGMDRD264,1,1,1,#4D9DB4,"Bryostatin 1"
iGMDRD551,1,1,1,#E1514B,"Ponatinib"
iGMDRD593,1,1,1,#5E4EA1,"CX-5461"
iGMDRD759,1,1,1,#FB9F59,"PFI-1"
iGMDRD130,1,1,1,#9E0041,"Enzastaurin"
iGMDRD749,1,1,1,#4D9DB4,"ZINC6718453"
iGMDRD505,1,4,1,#FB9F59,"Pevonedistat"
iGMDRD399,1,2,1,#F47245,"Selumetinib"
iGMDRD935,1,1,1,#4D9DB4,"JQ12"
iGMDRD443,1,1,1,#C32F4B,"Linifanib"
iGMDRD293,1,1,1,#FAE38C,"Bleomycin"
iGMDRD116,1,2,1,#C7E89E,"CD437"
iGMDRD435,1,5,1,#FEC574,"BI-2536"
iGMDRD459,1,1,1,#6CC4A4,"RO-3306"
iGMDRD193,1,2,1,#EAF195,"Fqi1"
iGMDRD552,1,5,1,#FAE38C,"AZD-1775"
iGMDRD446,1,6,1,#FEC574,"LY 2183240"
iGMDRD402,1,1,1,#FAE38C,"AKT Inhibitor VIII"
iGMDRD594,1,1,1,#5E4EA1,"AZD-8055"
iGMDRD348,1,1,1,#9E0041,"BMS-345541"
iGMDRD138,1,2,1,#6CC4A4,"PX 12"
iGMDRD123,1,3,1,#E1514B,"Isoevodiamine"
iGMDRD387,1,1,1,#4D9DB4,"CHIR-99021"
iGMDRD660,1,1,1,#C7E89E,"GSK-1070916"
iGMDRD886,1,1,1,#5E4EA1,"Compound 1541A"
iGMDRD776,1,1,1,#9E0041,"QL-XI-92"
iGMDRD608,1,3,1,#9CD6A4,"Refametinib"
iGMDRD546,1,1,1,#C32F4B,"BMS-754807"
iGMDRD462,1,1,1,#4776B4,"OSI-906 (Linsitinib)"
iGMDRD758,1,1,1,#E1514B,"JW-7-24-1"
iGMDRD237,1,1,1,#FEC574,"ABT-751"
iGMDRD662,1,1,1,#4D9DB4,"JQ-1"
