id,order,score,weight,color,label
iGMDRD154,1,1,1,#FEC574,"NSC23766"
iGMDRD481,1,1,1,#4D9DB4,"Dactolisib"
iGMDRD371,1,1,1,#4D9DB4,"THR1 Inhibitor"
iGMDRD300,1,3,1,#C32F4B,"Tozasertib"
iGMDRD420,1,2,1,#5E4EA1,"Leucascandrolide A"
iGMDRD100,1,2,1,#C7E89E,"Zebularine"
iGMDRD398,1,1,1,#4D9DB4,"Sepantronium"
iGMDRD454,1,1,1,#F47245,"JNK Inhibitor VIII"
iGMDRD562,1,3,1,#F47245,"Navitoclax"
iGMDRD112,1,1,1,#C32F4B,"Methotrexate"
iGMDRD21,1,1,1,#EAF195,"Fluorouracil"
iGMDRD946,1,1,1,#5E4EA1,"ML320"
iGMDRD255,1,2,1,#E1514B,"SB225002"
iGMDRD424,1,1,1,#5E4EA1,"Tamatinib"
iGMDRD307,1,2,1,#EAF195,"Manumycin A"
iGMDRD117,1,1,1,#6CC4A4,"Docetaxel"
iGMDRD42,1,1,1,#EAF195,"Vorinostat"
iGMDRD354,1,1,1,#E1514B,"Midostaurin"
iGMDRD124,1,1,1,#9CD6A4,"Canertinib"
iGMDRD146,1,1,1,#FB9F59,"Elesclomol"
iGMDRD60,1,8,1,#5E4EA1,"Quinoclamine"
iGMDRD698,1,1,1,#6CC4A4,"Neratinib"
iGMDRD676,1,1,1,#E1514B,"Birinapant"
iGMDRD297,1,2,1,#C32F4B,"Austocystin D"
iGMDRD79,1,2,1,#9CD6A4,"Gemcitabine"
iGMDRD506,1,3,1,#EAF195,"Fedratinib"
iGMDRD546,1,3,1,#EAF195,"BMS-754807"
iGMDRD662,1,1,1,#EAF195,"JQ-1"
iGMDRD779,1,1,1,#EAF195,"PRL-3 Inhibitor I"
iGMDRD97,1,1,1,#9E0041,"Bexarotene"
iGMDRD366,1,1,1,#E1514B,"PI-103"
iGMDRD317,1,1,1,#9CD6A4,"CCT 018159"
iGMDRD647,1,1,1,#9E0041,"StemRegenin 1"
iGMDRD84,1,2,1,#FEC574,"Lovastatin acid"
iGMDRD1008,1,1,1,#9CD6A4,"SR-II-138A"
iGMDRD125,1,1,1,#9E0041,"BIRB-796"
iGMDRD472,1,1,1,#EAF195,"PF-562271"
iGMDRD251,1,1,1,#9CD6A4,"ML162"
iGMDRD253,1,1,1,#EAF195,"Vincaleukoblastine"
iGMDRD519,1,1,1,#4776B4,"GDC-0941"
iGMDRD459,1,1,1,#C7E89E,"RO-3306"
iGMDRD1,1,1,1,#9E0041,"Nicotin-Amide"
iGMDRD467,1,1,1,#EAF195,"Motesanib"
iGMDRD887,1,1,1,#4776B4,"Compound 23 citrate"
iGMDRD441,1,1,1,#4D9DB4,"TW 37"
iGMDRD871,1,3,1,#FB9F59,"BRD6368"
iGMDRD363,1,1,1,#EAF195,"OSI-930"
iGMDRD657,1,1,1,#FEC574,"LRRK2-IN-1"
iGMDRD450,1,1,1,#5E4EA1,"JNJ-26854165"
iGMDRD427,1,2,1,#9CD6A4,"ABT737"
iGMDRD668,1,1,1,#EAF195,"GSK 525762A"
iGMDRD50,1,1,1,#9E0041,"Cytarabine"
iGMDRD870,1,2,1,#FAE38C,"BRD63610"
iGMDRD452,1,1,1,#FEC574,"PF-573228"
iGMDRD330,1,2,1,#F47245,"BRD4132"
iGMDRD401,1,1,1,#C7E89E,"Afatinib"
iGMDRD409,1,1,1,#FB9F59,"Saracatinib"
iGMDRD280,1,3,1,#C7E89E,"CYTOCHALASIN B"
iGMDRD121,1,4,1,#F47245,"GMX1778"
iGMDRD133,1,1,1,#FAE38C,"Lapatinib"
iGMDRD160,1,1,1,#C32F4B,"Cis-Platin"
iGMDRD550,1,1,1,#FB9F59,"CGP-082996"
iGMDRD573,1,1,1,#9E0041,"GSK-1904529A"
iGMDRD434,1,7,1,#5E4EA1,"BMS-536924"
iGMDRD119,1,1,1,#FB9F59,"Temsirolimus"
iGMDRD494,1,2,1,#C7E89E,"Neopeltolide"
iGMDRD318,1,6,1,#C32F4B,"PAC-1"
iGMDRD15,1,1,1,#4776B4,"Tacedinaline"
iGMDRD271,1,1,1,#C32F4B,"Brefeldin A"
iGMDRD131,1,1,1,#EAF195,"Erlotinib"
iGMDRD68,1,1,1,#C32F4B,"Paclitaxel"
iGMDRD64,1,2,1,#C32F4B,"Parbendazole"
iGMDRD351,1,1,1,#6CC4A4,"GW843682X"
iGMDRD397,1,2,1,#C7E89E,"Pazopanib"
iGMDRD462,1,1,1,#EAF195,"OSI-906 (Linsitinib)"
iGMDRD780,1,2,1,#4D9DB4,"PP-30"
iGMDRD687,1,1,1,#4776B4,"I-BET151"
iGMDRD259,1,1,1,#EAF195,"EX-527"
iGMDRD305,1,8,1,#5E4EA1,"SYK inhibitor"
iGMDRD268,1,2,1,#4D9DB4,"Cerulenin"
iGMDRD33,1,1,1,#E1514B,"Entinostat"
iGMDRD132,1,2,1,#F47245,"(-)-gallocatechin-3-O-gallate"
iGMDRD634,1,4,1,#F47245,"SCHEMBL2608041"
iGMDRD466,1,2,1,#4D9DB4,"Chaetocin"
iGMDRD3,1,1,1,#FAE38C,"PD-173074"
iGMDRD399,1,1,1,#6CC4A4,"Selumetinib"
iGMDRD491,1,1,1,#6CC4A4,"TAE-684"
iGMDRD61,1,3,1,#4776B4,"Kinetin riboside"
iGMDRD193,1,2,1,#E1514B,"Fqi1"
iGMDRD577,1,2,1,#F47245,"BIX01294"
iGMDRD1036,1,1,1,#FEC574,"X17AAG"
